column_ref,code,description,notes
"non_association.first_prisoner_role / non_association.second_prisoner_role","VICTIM","The prisoner was the subject of the behaviour the non-association was recorded for.",""
"non_association.first_prisoner_role / non_association.second_prisoner_role","PERPETRATOR","The prisoner is recorded as responsible for the behaviour the non-association was recorded for. An allegation recorded by staff, not a finding or a conviction.",""
"non_association.first_prisoner_role / non_association.second_prisoner_role","NOT_RELEVANT","Neither victim nor perpetrator - the two must be kept apart without either being held responsible, for example a police request.",""
"non_association.first_prisoner_role / non_association.second_prisoner_role","UNKNOWN","Not recorded. Common on records migrated from NOMIS, which did not always capture a role.",""
"non_association.reason","BULLYING","One prisoner has bullied the other.",""
"non_association.reason","GANG_RELATED","The two prisoners are associated with rival or related gangs.",""
"non_association.reason","ORGANISED_CRIME","The two prisoners are linked through organised crime.",""
"non_association.reason","LEGAL_REQUEST","The police or a legal body has asked for the two to be kept apart, for example co-defendants awaiting trial.",""
"non_association.reason","THREAT","One prisoner has threatened the other.",""
"non_association.reason","VIOLENCE","There has been violence between the two prisoners.",""
"non_association.reason","OTHER","None of the above - the explanation is in the free-text comment.",""
"non_association.restriction_type","CELL","Cell only - the two must not share a cell.","increasing severity: CELL < LANDING < WING"
"non_association.restriction_type","LANDING","Cell and landing - the two must not share a cell or a landing.","increasing severity: CELL < LANDING < WING"
"non_association.restriction_type","WING","Cell, landing and wing - the two must not share a cell, a landing or a wing. The most restrictive.","increasing severity: CELL < LANDING < WING"
