table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",id,1,bigint,,NO,nextval('non_association_id_seq'::regclass),Primary key. Surrogate sequence value; carries no meaning and is not the NOMIS identifier.,NONE,Y,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",first_prisoner_number,2,character varying,10,NO,,NOMIS offender number (noms id) of one of the two prisoners. First rather than second is an accident of how the record was created and implies nothing - neither prisoner is the subject of the record more than the other. Updated in place when NOMIS merges two offender records.,PERSONAL,N,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",first_prisoner_role,3,character varying,20,NO,,"How the first prisoner is involved: VICTIM, PERPETRATOR, NOT_RELEVANT or UNKNOWN. PERPETRATOR records an allegation of offending in custody against a named person, and VICTIM records that they were the subject of it, so this is criminal offence data whichever value it holds.",SPECIAL-CATEGORY,N,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",second_prisoner_number,4,character varying,10,NO,,NOMIS offender number (noms id) of the other prisoner. Constrained to differ from first_prisoner_number. In a subject access request for the first prisoner this column is third-party data about someone else.,PERSONAL,N,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",second_prisoner_role,5,character varying,20,NO,,"How the second prisoner is involved: VICTIM, PERPETRATOR, NOT_RELEVANT or UNKNOWN. Criminal offence data about that prisoner whichever value it holds - see first_prisoner_role.",SPECIAL-CATEGORY,N,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",reason,6,character varying,20,NO,,"Why the two prisoners must be kept apart: BULLYING, GANG_RELATED, ORGANISED_CRIME, LEGAL_REQUEST (police or legal request), THREAT, VIOLENCE or OTHER. Every value except OTHER names alleged offending or a police interest in the prisoners, so the code alone is criminal offence data about both of them.",SPECIAL-CATEGORY,N,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",restriction_type,7,character varying,20,NO,,"How far apart the two must be kept: CELL (cell only), LANDING (cell and landing) or WING (cell, landing and wing). This is the security measure imposed in response to alleged offending, which Article 10 covers alongside the offence data itself, and its severity is a proxy for how serious the risk was judged to be.",SPECIAL-CATEGORY,N,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",comment,8,text,,NO,,"Free-text explanation of why the two prisoners must be kept apart, written by the member of staff recording or updating it. Unstructured and unbounded - in practice describes violence, threats, gang affiliation, health and third parties, so treat as special category regardless of what any individual comment happens to say. Overwritten with the reopening reason when a closed non-association is reopened, so it holds the current explanation rather than the original one.",SPECIAL-CATEGORY,N,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",when_created,9,timestamp with time zone,,NO,now(),"When the non-association was first recorded in this service. For records migrated from NOMIS this is the migration, not the original prison event.",NONE,N,
non_association,"One recorded requirement to keep two prisoners apart, and how far apart. The record concerns both prisoners equally - first and second carry no precedence, and the pair is not stored in a canonical order, so a query about one prisoner must check both columns. Rows are closed rather than deleted when the requirement ends, and can be reopened, so this table is also the history. Non-associations originate either in DPS or from NOMIS, which is why authorised_by is nullable and was free text there.",when_updated,10,timestamp with time zone,,NO,now(),"When the non-association was last changed, including being closed or reopened. Equal to when_created until the first change.",NONE,N,
